concepto_turistico,total_nacional,comunidades_y_ciudades_autonomas,residencia_del_viajero,periodo,total
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-09-01,293000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-08-01,486000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-07-01,376000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-06-01,301000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-05-01,238000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-04-01,267000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-03-01,201000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-02-01,160000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-01-01,136000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-12-01,202000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-11-01,174000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-10-01,210000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-09-01,264000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-08-01,414000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-07-01,330000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-06-01,253000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-05-01,177000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-04-01,194000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-03-01,217000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-02-01,137000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2018-01-01,119000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-09-01,573000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-08-01,594000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-07-01,567000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-06-01,435000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-05-01,459000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-04-01,421000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-03-01,322000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-02-01,267000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2023-01-01,240000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-12-01,281000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-11-01,294000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-10-01,431000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-09-01,459000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-08-01,502000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-07-01,497000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-06-01,429000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-05-01,418000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-04-01,366000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-03-01,282000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-02-01,229000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2022-01-01,176000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-12-01,205000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-11-01,228000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-10-01,293000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-09-01,264000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-08-01,290000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-07-01,252000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-06-01,135000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-05-01,108000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-04-01,60000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-03-01,50000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-02-01,32000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2021-01-01,37000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-12-01,48000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-11-01,35000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-10-01,56000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-09-01,60000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-08-01,137000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-07-01,131000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-06-01,18000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-05-01,8000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-04-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-03-01,121000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-02-01,280000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2020-01-01,250000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-12-01,273000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-11-01,280000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-10-01,451000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-09-01,502000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-08-01,540000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-07-01,507000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-06-01,467000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-05-01,442000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-04-01,398000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-03-01,309000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-02-01,257000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2019-01-01,251000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-12-01,248000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-11-01,249000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-10-01,400000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-09-01,446000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-08-01,494000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-07-01,477000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-06-01,400000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-05-01,402000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-04-01,346000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-03-01,271000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-02-01,219000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en el Extranjero,2018-01-01,209000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-09-01,
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-08-01,
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-07-01,
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-06-01,198000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-05-01,195000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-04-01,214000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-03-01,145000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-02-01,126000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2023-01-01,107000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-12-01,156000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-11-01,134000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-10-01,197000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-09-01,229000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-08-01,282000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-07-01,250000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-06-01,217000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-05-01,203000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-04-01,203000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-03-01,132000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-02-01,126000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2022-01-01,93000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-12-01,124000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-11-01,108000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-10-01,159000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-09-01,165000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-08-01,230000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-07-01,191000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-06-01,123000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-05-01,83000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-04-01,38000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-03-01,33000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-02-01,21000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2021-01-01,26000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-12-01,31000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-11-01,16000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-10-01,61000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-09-01,77000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-08-01,161000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-07-01,121000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-06-01,40000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-05-01,8000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-04-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-03-01,55000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-02-01,145000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2020-01-01,117000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-12-01,143000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-11-01,125000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-10-01,187000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-09-01,216000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-08-01,261000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-07-01,212000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-06-01,198000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-05-01,198000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-04-01,188000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-03-01,135000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-02-01,113000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2019-01-01,97000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-12-01,113000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-11-01,102000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-10-01,159000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-09-01,186000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-08-01,225000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-07-01,187000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-06-01,161000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-05-01,156000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-04-01,149000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-03-01,119000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-02-01,91000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Total ,2018-01-01,79000.0
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Residentes en España,2023-09-01,
Número de alojamientos turísticos ocupados,Total Nacional,01 Andalucía,Residentes en España,2023-08-01,
